family,scientific_name,spanish_name,english_name,species_code,category,notes,ebird_picture,IUCN_status,IUCN_comment
Melanopareiidae,Melanopareia maranonica, Pecholuna del Marañón, Marañon Crescentchest, https://ebird.org/species/marcre1,EN,,https://macaulaylibrary.org/asset/533639961, IUCN_LC, IUCN update 2024
Conopophagidae,Pittasoma rufopileatum, Pitasoma Coronirrufa, Rufous-crowned Antpitta, https://ebird.org/species/rucant3,EN,,https://macaulaylibrary.org/asset/244045621, IUCN_LC, IUCN update 2024
Grallariidae,Grallaria ridgelyi, Gralaria (Tororoi) Jocotoco, Jocotoco Antpitta, https://ebird.org/species/jocant1,EN,,https://macaulaylibrary.org/asset/152671691, IUCN_EN, IUCN update 2024
Rhinocryptidae,Scytalopus chocoensis, Tapaculo del Chocó, Choco Tapaculo, https://ebird.org/species/chotap1,EN,,https://macaulaylibrary.org/asset/112785851, IUCN_LC, IUCN update 2024
Rhinocryptidae,Scytalopus robbinsi, Tapaculo de El Oro (Ecuatoriano), Ecuadorian Tapaculo, https://ebird.org/species/ecutap1,EN,,https://macaulaylibrary.org/asset/538782591, IUCN_EN, IUCN update 2024
Furnariidae,Neophilydor fuscipenne, Limpiafronda Alipizarrosa,Slaty-winged Foliage-gleaner,https://ebird.org/species/swfgle,EN,"En la lista, esta como Philydor fuscipenne ",https://macaulaylibrary.org/asset/618729450, IUCN_LC, IUCN update 2024
Furnariidae,Synallaxis maranonica, Colaespina del Marañón, Marañon Spinetail, https://ebird.org/species/marspi3,EN,,https://macaulaylibrary.org/asset/589119281, IUCN_CR, IUCN update 2024
Furnariidae,Synallaxis tithys, Colaespina Cabecinegra, Blackish-headed Spinetail, https://ebird.org/species/blhspi1,EN,,https://macaulaylibrary.org/asset/133597951, IUCN_VU, IUCN update 2024
Furnariidae,Synallaxis cherriei, Colaespina Golicastaña, Chestnut-throated Spinetail, https://ebird.org/species/chtspi1,EN,,https://macaulaylibrary.org/asset/77540951, IUCN_LC, IUCN update 2024
Tyrannidae,Hemitriccus cinnamomeipectus, Tirano Todi Pechicanelo, Cinnamon-breasted Tody-Tyrant, https://ebird.org/species/cbttyr1,EN,,https://macaulaylibrary.org/asset/583766671, IUCN_LC, IUCN update 2024
Tyrannidae,Agriornis albicauda, Arriero Coliblanco, White-tailed Shrike-Tyrant, https://ebird.org/species/wtstyr1,EN,,https://macaulaylibrary.org/asset/615064046, IUCN_VU, IUCN update 2024
Tyrannidae,Ochthoeca leucophrys, Pitajo Cejiblanco, White-browed Chat-Tyrant, https://ebird.org/species/wbctyr1,EN,,https://macaulaylibrary.org/asset/187182911, IUCN_LC, IUCN update 2024
Cotingidae,Ampelion rufaxilla, Cotinga Cresticastaña, Chestnut-crested Cotinga, https://ebird.org/species/chccot1,EN,,https://macaulaylibrary.org/asset/595744351, IUCN_LC, IUCN update 2024
Cotingidae,Pyroderus scutatus, Cuervo Higuero Golirrojo, Red-ruffed Fruitcrow, https://ebird.org/species/rerfru1,EN,,https://macaulaylibrary.org/asset/204103871, IUCN_LC, IUCN update 2024
Cotingidae,Cephalopterus penduliger, Pájaro Paraguas Longuipéndulo, Long-wattled Umbrellabird, https://ebird.org/species/lowumb1,EN,,https://macaulaylibrary.org/asset/133594331, IUCN_VU, IUCN update 2024
Vireonidae,Vireo masteri, Vireo del Chocó, Choco Vireo, https://ebird.org/species/chovir1,EN,,https://macaulaylibrary.org/asset/248108951, IUCN_NT, IUCN update 2024
Turdidae,Cichlopsis leucogenys, Solitario Rufimoreno, Rufous-brown Solitaire, https://ebird.org/species/rubsol1,EN,,https://macaulaylibrary.org/asset/531905341,,
Thraupidae,Dacnis berlepschi, Dacnis Pechiescarlata, Scarlet-breasted Dacnis, https://ebird.org/species/scbdac1,EN,,https://macaulaylibrary.org/asset/87354401, IUCN_VU, IUCN update 2024
Thraupidae,Conirostrum binghami, Picocono Gigante,Giant Conebill,https://ebird.org/species/giacon1,EN,"En la lista, esta como Oreomanes fraseri ",https://macaulaylibrary.org/asset/205994201, IUCN_NT, IUCN update 2024
Thraupidae,Xenodacnis parina, Xenodacnis, Tit-like Dacnis, https://ebird.org/species/tildac1,EN,,https://macaulaylibrary.org/asset/156513651,,
Passerellidae,Oreothraupis arremonops, Pinzón Tangara, Tanager Finch, https://ebird.org/species/tanfin1,EN,,https://macaulaylibrary.org/asset/633847045, IUCN_LC, IUCN update 2024
Passerellidae,Atlapetes pallidiceps, Matorralero Cabecipálido, Pale-headed Brushfinch, https://ebird.org/species/phbfin1,EN,,https://macaulaylibrary.org/asset/130730411, IUCN_EN, IUCN update 2024
Tinamidae,Tinamus tao, Tinamú Gris, Gray Tinamou, https://ebird.org/species/grytin1,VU,,https://macaulaylibrary.org/asset/32715241, IUCN_VU, IUCN update 2024
Tinamidae,Crypturellus berlepschi, Tinamú de Berlepsch, Berlepsch's Tinamou, https://ebird.org/species/bertin1,VU,,https://macaulaylibrary.org/asset/249513001, IUCN_LC, IUCN update 2024
Tinamidae,Crypturellus obsoletus, Tinamú Pardo, Brown Tinamou, https://ebird.org/species/brotin1,VU,,https://macaulaylibrary.org/asset/61307611, IUCN_LC, IUCN update 2024
Anhimidae,Anhima cornuta, Gritador Unicornio (Canclón), Horned Screamer, https://ebird.org/species/horscr1,VU,,https://macaulaylibrary.org/asset/502927211, IUCN_LC, IUCN update 2024
Cracidae,Penelope barbata, Pava Barbada (Barbuda), Bearded Guan, https://ebird.org/species/beagua1,VU,,https://macaulaylibrary.org/asset/144524291, IUCN_NT, IUCN update 2024
Cracidae,Penelope purpurascens, Pava Crestada, Crested Guan, https://ebird.org/species/cregua1,VU,,https://macaulaylibrary.org/asset/386925581, IUCN_NT, IUCN update 2024
Cracidae,Ortalis erythroptera, Chachalaca (Guacharaca) Cabecirrufa, Rufous-headed Chachalaca, https://ebird.org/species/ruhcha1,VU,,https://macaulaylibrary.org/asset/119987731, IUCN_VU, IUCN update 2024
Odontophoridae,Odontophorus erythrops, Corcovado Frenticolorado, Rufous-fronted Wood-Quail, https://ebird.org/species/rfwqua1,VU,,https://macaulaylibrary.org/asset/55202971, IUCN_LC, IUCN update 2024
Odontophoridae,Odontophorus melanonotus, Corcovado Dorsioscuro, Dark-backed Wood-Quail, https://ebird.org/species/dbwqua1,VU,,https://macaulaylibrary.org/asset/66902441, IUCN_LC, IUCN update 2024
Podicipedidae,Podiceps occipitalis, Zambullidor Plateado, Silvery Grebe, https://ebird.org/species/silgre1,VU,,https://macaulaylibrary.org/asset/243934441,,
Ardeidae,Agamia agami, Garza Agamí, Agami Heron, https://ebird.org/species/agaher1,VU,,https://macaulaylibrary.org/asset/313257841, IUCN_NT, IUCN update 2024
Ardeidae,Zebrilus undulatus, Garcilla Cebra, Zigzag Heron, https://ebird.org/species/zigher1,VU,,https://macaulaylibrary.org/asset/623899979, IUCN_LC, IUCN update 2024
Ardeidae,Botaurus pinnatus, Mirasol Neotropical, Pinnated Bittern, https://ebird.org/species/pinbit1,VU,,https://macaulaylibrary.org/asset/205005651, IUCN_LC, IUCN update 2024
Accipitridae,Morphnus guianensis, Águila Crestada (Monera), Crested Eagle, https://ebird.org/species/creeag1,VU,,https://macaulaylibrary.org/asset/618624818, IUCN_NT, IUCN update 2024
Accipitridae,Harpia harpyja, Águila Harpía, Harpy Eagle, https://ebird.org/species/hareag1,VU,,https://macaulaylibrary.org/asset/63881241, IUCN_VU, IUCN update 2024
